id,case_id,title,source,url,date,snippet,block,narrative_stage,source_type_scale,article_tone,situation_presentation,forecast_presence,forecast_type,forecast_detail_level,hash
ns_int_120,nord_stream,Nord Stream pipeline disinformation fits pattern of Russian information ...,Cyberscoop,https://cyberscoop.com/russian-disinformation-nord-stream/,2022-2024,Nord Stream pipeline disinformation fits pattern of Russian information ...,international,N2,0.5,informational,neutral,False,,,ae6dff76f310
ns_int_007,nord_stream,Security Implications of Nord Stream Sabotage - CSIS,Csis,https://www.csis.org/analysis/security-implications-nord-stream-sabotage,2022-2024,Security Implications of Nord Stream Sabotage - CSIS,international,N1,0.5,informational,neutral,False,,,0b098bd19840
ns_int_158,nord_stream,Polish court blocks extradition of Nord Stream suspect to Germany,Financial Times,https://www.ft.com/content/7c43b01f-498b-4ea3-8500-c46c4ac3ff28,2022-2024,Polish court blocks extradition of Nord Stream suspect to Germany,international,N3,0.8,informational,neutral,False,,,7fec13d517c0
ns_int_055,nord_stream,Sweden shuts down Nord Stream blasts inquiry - BBC,BBC,https://www.bbc.com/news/world-europe-68225599,2022-2024,Sweden shuts down Nord Stream blasts inquiry - BBC,international,N2,0.8,informational,neutral,False,,,57b93f5f306d
ns_int_135,nord_stream,Investigating the Nord Stream Pipeline Sabotage - The New York Times,New York Times,https://www.nytimes.com/2022/12/26/world/europe/nordstream-pipeline-explosion-russia.html,2022-12-26,Investigating the Nord Stream Pipeline Sabotage - The New York Times,international,N1,0.8,informational,neutral,False,,,809b878f43fa
ns_int_069,nord_stream,Polish court blocks extradition and frees Ukrainian suspected in Nord ...,Pbs,https://www.pbs.org/newshour/world/polish-court-blocks-extradition-and-frees-ukrainian-suspected-in-nord-stream-pipeline-blasts,2022-2024,Polish court blocks extradition and frees Ukrainian suspected in Nord ...,international,N3,0.5,informational,neutral,False,,,bd8f4c099f5d
ns_int_057,nord_stream,Nord-Stream-Pipelines: Polen überstellt mutmaßlichen ... - Die Zeit,Die Zeit,https://www.zeit.de/politik/ausland/2025-10/anschlaege-nord-stream-pipelines-festgenommener-ukrainer-polen-vorerst-keine-ueberstellung-deutschland-gxe,2022-2024,Die Bundesregierung will sich nicht militärisch in der Straße von Hormus engagieren - und stellt sich damit gegen Donald Trump. Und: Wackelt die Brandmauer in Brüssel?,international,N2,0.5,informational,neutral,False,,,2ff20d77dce6
ns_int_093,nord_stream,"Denmark&#x27;s Nord Stream probe finds sabotage, not enough grounds for case ...",Aljazeera,https://www.aljazeera.com/news/2024/2/26/denmarks-nord-stream-probe-finds-sabotage-not-enough-grounds-for-case,2022-2024,"Denmark&#x27;s Nord Stream probe finds sabotage, not enough grounds for case ...",international,N2,0.5,informational,neutral,False,,,2e5ea293ff34
ns_int_058,nord_stream,Ostseepipeline - DER SPIEGEL,Der Spiegel,https://www.spiegel.de/thema/ostseepipeline/,2022-2024,Wieder ein Angriff auf eine wichtige Verbindung der Bahn: Zwischen Köln und Düsseldorf schlugen Unbekannte in der Nacht zu und durchtrennten Kabel. Die Polizei schließt einen politischen ...,international,N2,0.5,informational,neutral,False,,,d0f1267dbd3b
ns_int_089,nord_stream,Update: Nord Stream Insurers Deny Policies Covered War Risks in UK Lawsuit,Insurancejournal,https://www.insurancejournal.com/news/international/2024/04/18/770558.htm,2024-04-18,Update: Nord Stream Insurers Deny Policies Covered War Risks in UK Lawsuit,international,N2,0.5,informational,neutral,False,,,8d1da2181b5d
ns_int_014,nord_stream,Denmark closes probe into Nord Stream blasts saying there&#x27;s not enough ...,Associated Press,https://apnews.com/article/denmark-nord-stream-pipeline-explosion-investigation-sweden-germany-8fe8be53ff1c10b11ec2d0ad1d8dd615,2022-2024,Denmark closes probe into Nord Stream blasts saying there&#x27;s not enough ...,international,N5,0.8,informational,neutral,False,,,a2d349d534c8
ns_int_087,nord_stream,Russia requests urgent UN Security Council meeting on Nord Stream ...,Global,https://global.chinadaily.com.cn/a/202508/23/WS68a9729da310851ffdb4fba5.html,2022-2024,Russia requests urgent UN Security Council meeting on Nord Stream ...,international,N2,0.5,informational,neutral,False,,,111ef25fa14e
ns_int_113,nord_stream,The Nord Stream Pipeline Leaks: When Science Unraveled an Underwater ...,Greenchemsci,https://www.greenchemsci.com/posts/the-nord-stream-pipeline-leaks-when-science-unraveled-an-underwater-mystery,2022-2024,The Nord Stream Pipeline Leaks: When Science Unraveled an Underwater ...,international,N1,0.5,informational,neutral,False,,,4af056b2d1f4
ns_int_103,nord_stream,Nord Stream 1 and 2 Explosions: What We Know For Today,Seaemploy,https://seaemploy.com/nord-stream-1-and-2-explosions-what-we-know-for-today/,2022-2024,Nord Stream 1 and 2 Explosions: What We Know For Today,international,N1,0.5,informational,neutral,False,,,7c3eb812cd18
ns_int_102,nord_stream,Who really blew up Nord Stream pipelines? The 4 key theories,Thetimes,https://www.thetimes.com/world/russia-ukraine-war/article/nord-stream-pipeline-explosion-key-theories-explained-2wg9n0gdw,2022-2024,Who really blew up Nord Stream pipelines? The 4 key theories,international,N2,0.5,informational,neutral,False,,,c3899ecbb580
ns_int_008,nord_stream,How did divers manage to blow up the Nord Stream pipeline? We went down ...,Cbc,https://www.cbc.ca/news/investigates/nord-stream-pipeline-explosion-ukraine-diver-1.7296527,2022-2024,How did divers manage to blow up the Nord Stream pipeline? We went down ...,international,N2,0.5,informational,neutral,False,,,f9c1ea0f0456
ns_int_170,nord_stream,Russia demands UN Security Council meeting on Nord Stream pipeline attacks,Al Jazeera,https://www.aljazeera.com/news/2023/2/21/russia-demands-un-security-council-meeting-on-nord-stream-pipeline-attacks,2023-02-21,"Russia has requested an urgent meeting of the UN Security Council to discuss the Nord Stream pipeline explosions, citing Seymour Hersh's investigation alleging U.S. involvement.",international,N4,0.5,informational,neutral,False,,,8e2bc0e8be7e
ns_int_094,nord_stream,The Destruction of the Nord Stream Pipeline Is the ... - The Atlantic,Theatlantic,https://www.theatlantic.com/international/archive/2023/12/nord-stream-pipeline-attack-theories-suspects-investigation/676320/,2022-2024,The Destruction of the Nord Stream Pipeline Is the ... - The Atlantic,international,N2,0.5,informational,neutral,False,,,3a053be39596
ns_int_148,nord_stream,Intelligence officials suspect Ukraine partisans behind Nord Stream ...,Washington Post,https://www.washingtonpost.com/national-security/2023/03/07/intelligence-officials-suspect-ukraine-partisans-behind-nord-stream-bombings-rattling-kyivs-allies/,2023-03-07,Intelligence officials suspect Ukraine partisans behind Nord Stream ...,international,N3,0.8,informational,neutral,False,,,9068e88f71a6
ns_int_040,nord_stream,Germany: Arrest made over Nord Stream pipeline explosions,Deutsche Welle,https://www.dw.com/en/germany-arrest-made-over-nord-stream-pipeline-explosions/a-73716929,2022-2024,Germany: Arrest made over Nord Stream pipeline explosions,international,N3,0.5,informational,neutral,False,,,2ac1db8632b7
ns_int_049,nord_stream,Nord Stream gas &#x27;sabotage&#x27;: who&#x27;s being blamed and why?,Reuters,https://www.reuters.com/world/europe/qa-nord-stream-gas-sabotage-whos-being-blamed-why-2022-09-30/,2022-2024,Nord Stream gas &#x27;sabotage&#x27;: who&#x27;s being blamed and why?,international,N3,0.8,critical,neutral,False,,,f5a6af8e5ddc
ns_int_139,nord_stream,Ukrainian military officer coordinated Nord Stream pipeline attack,Washington Post,https://www.washingtonpost.com/national-security/2023/11/11/nordstream-bombing-ukraine-chervinsky/,2023-11-11,The suspect is accused of being part of group that placed explosives on the pipelines after hiring a yacht that departed from Germany&#x27;s Baltic coast.,international,N3,0.8,informational,neutral,False,,,6df338e40260
ns_int_073,nord_stream,Nord Stream pipelines - dw.com,Deutsche Welle,https://www.dw.com/en/nord-stream-pipelines/t-63277358,2022-2024,Nord Stream pipelines - dw.com,international,N2,0.5,informational,neutral,False,,,885a90a541dc
ns_int_042,nord_stream,"Italy arrests Ukrainian suspect in Nord Stream sabotage case, German ...",Politico EU,https://www.politico.eu/article/germany-arrests-ukrainian-suspect-in-nord-stream-sabotage-case/,2022-2024,"Italy arrests Ukrainian suspect in Nord Stream sabotage case, German ...",international,N3,0.5,informational,neutral,False,,,8b0b7a0fa355
ns_int_070,nord_stream,Explainer: Gas pipeline Nord Stream&#x27;s long way back to Europe,Reuters,https://www.reuters.com/business/energy/gas-pipeline-nord-streams-long-way-back-europe-2025-03-07/,2022-2024,Explainer: Gas pipeline Nord Stream&#x27;s long way back to Europe,international,N2,0.8,informational,neutral,False,,,4daea840968e
ns_int_173,nord_stream,UN Security Council briefing on Nord Stream pipeline sabotage,United Nations,https://www.un.org/securitycouncil/meetings/2023/02/22,2023-02-22,"The UN Security Council held a briefing on the Nord Stream pipeline sabotage. Multiple member states called for a thorough investigation, while Russia accused Western nations of blocking transparency.",international,N4,1.0,informational,neutral,False,,,928390e6f4fe
ns_int_021,nord_stream,Seymour Hersh: How the US Took Out the Nord Stream Pipeline,Scheerpost,https://scheerpost.com/2023/02/08/how-america-took-out-the-nord-stream-pipeline/,2023-02-08,Seymour Hersh: How the US Took Out the Nord Stream Pipeline,international,N2,0.5,informational,neutral,False,,,49574eb51f39
ns_int_175,nord_stream,Bloomberg: Nord Stream explosion investigation enters third year with no arrests,Bloomberg,https://www.bloomberg.com/news/articles/2024-09-26/nord-stream-explosion-investigation-enters-third-year,2024-09-26,"Two years after the Nord Stream pipeline explosions, the investigation continues without definitive conclusions. German authorities remain the lead investigators following Sweden and Denmark closing their cases.",international,N5,0.8,informational,neutral,False,,,9c5db2fffcba
ns_int_092,nord_stream,Who is responsible for the Nord Stream pipeline attack?,Openaccessgovernment,https://www.openaccessgovernment.org/who-responsible-nord-stream-pipeline-attack-gas-russia-ukraine-germany-kremlin/154492/,2022-2024,Who is responsible for the Nord Stream pipeline attack?,international,N3,0.5,informational,neutral,False,,,2e79623038b9
ns_int_081,nord_stream,The Nord Stream Incident: Open Briefing : What&#x27;s In Blue : Security ...,Securitycouncilreport,https://www.securitycouncilreport.org/whatsinblue/2025/08/the-nord-stream-incident-open-briefing-2.php,2022-2024,The Nord Stream Incident: Open Briefing : What&#x27;s In Blue : Security ...,international,N2,0.5,informational,neutral,False,,,4ea03660fff9
ns_int_127,nord_stream,"Germany issues arrest warrant for diver over Nord Stream blasts, say ...",The Guardian,https://www.theguardian.com/world/article/2024/aug/14/germany-has-issued-arrest-warrant-for-diver-over-nord-stream-explosions-says-report,2022-2024,"Germany issues arrest warrant for diver over Nord Stream blasts, say ...",international,N3,0.8,informational,neutral,False,,,0bc7c9695ed1
ns_int_161,nord_stream,Ukrainian man arrested in Italy over Nord Stream attacks,Financial Times,https://www.ft.com/content/4fe489ce-a211-49c3-b12f-2739cc80bac7,2022-2024,Ukrainian man arrested in Italy over Nord Stream attacks,international,N3,0.8,informational,neutral,False,,,ce6095a96067
ns_int_004,nord_stream,What is known about the Nord Stream gas pipeline explosions?,Reuters,https://www.reuters.com/world/europe/what-is-known-about-nord-stream-gas-pipeline-explosions-2025-08-21/,2022-2024,What is known about the Nord Stream gas pipeline explosions?,international,N1,0.8,informational,neutral,False,,,8e8e9288d4eb
ns_int_079,nord_stream,German investigators identify persons suspected in Nord Stream ...,Offshore-Mag,https://www.offshore-mag.com/special-reports/news/55313211/german-investigators-identify-persons-suspected-in-nord-stream-explosions,2022-2024,German investigators identify persons suspected in Nord Stream ...,international,N3,0.5,informational,neutral,False,,,77bd0b1c5671
ns_int_130,nord_stream,Nord Stream AG - The New York Times,New York Times,https://www.nytimes.com/topic/nord-stream-ag,2022-2024,Nord Stream AG - The New York Times,international,N2,0.8,informational,neutral,False,,,57f2e7aff321
ns_int_060,nord_stream,Nord-Stream-Sabotage: Weiß die Bundesregierung seit einem Jahr von ...,Die Zeit,https://www.zeit.de/politik/ausland/2023-06/nord-stream-sabotage-pipeline-usa-ukraine-spur,2022-2024,Nord-Stream-Sabotage: Weiß die Bundesregierung seit einem Jahr von ...,international,N1,0.5,informational,neutral,False,,,bfbc82d2aaa1
ns_int_095,nord_stream,"A Drunken Evening, a Rented Yacht: The Real Story of the Nord Stream ...",Tovima,https://www.tovima.com/wsj/a-drunken-evening-a-rented-yacht-the-real-story-of-the-nord-stream-pipeline-sabotage/,2022-2024,"A Drunken Evening, a Rented Yacht: The Real Story of the Nord Stream ...",international,N3,0.5,informational,neutral,False,,,7ac6b139f969
ns_int_115,nord_stream,Analysis of Nord Stream explosions using seismic recordings,Link,https://link.springer.com/article/10.1007/s11770-023-1070-7,2022-2024,Analysis of Nord Stream explosions using seismic recordings,international,N1,0.5,informational,neutral,False,,,dda250fb3f46
ns_int_011,nord_stream,All Suspects in Nord Stream Sabotage Identified by German Investigators,Swedenherald,https://swedenherald.com/article/all-suspects-in-nord-stream-sabotage-identified-by-german-investigators,2022-2024,All Suspects in Nord Stream Sabotage Identified by German Investigators,international,N3,0.5,informational,neutral,False,,,69a6d87a9489
ns_int_027,nord_stream,Seymour Hersh on &quot;How the US Took Out the Nord Stream Pipeline ...,Transcend,https://www.transcend.org/tms/2023/02/seymour-hersh-on-how-the-us-took-out-the-nord-stream-pipeline-exclusive-tv-interview/,2022-2024,Seymour Hersh on &quot;How the US Took Out the Nord Stream Pipeline ...,international,N2,0.5,informational,neutral,False,,,cdbd8876a99e
ns_int_147,nord_stream,"Sweden says Nord Stream pipeline sabotaged, finds explosive residue ...",Washington Post,https://www.washingtonpost.com/world/2022/11/18/nord-stream-sweden-explosives-sabotage/,2022-11-18,"Sweden says Nord Stream pipeline sabotaged, finds explosive residue ...",international,N2,0.8,informational,neutral,False,,,9b7c10a13142
ns_int_088,nord_stream,The Nord Stream Mystery - Swiss Policy Research,Swprs,https://swprs.org/the-nord-stream-mystery-new-insights/,2022-2024,The Nord Stream Mystery - Swiss Policy Research,international,N2,0.5,informational,neutral,False,,,a2d786f4da91
ns_int_097,nord_stream,What&#x27;s Wrong with Accusations Against Ukraine on the Nord Stream ...,Ukraineworld,https://ukraineworld.org/en/articles/analysis/wrong-allegations-against-ukraine,2022-2024,What&#x27;s Wrong with Accusations Against Ukraine on the Nord Stream ...,international,N2,0.5,informational,neutral,False,,,43fc6cd06a43
ns_int_171,nord_stream,Nord Stream explosions: Official statements from Denmark and Sweden,Danish Defence Command,https://www.forsvaret.dk/en/news/2022/nord-stream-leaks/,2022-09-27,Danish and Swedish authorities confirmed deliberate explosions at the Nord Stream pipeline sites. Seismological data indicated explosions equivalent to hundreds of kilograms of TNT.,international,N3,0.5,informational,neutral,False,,,caa3da92a6d0
ns_int_168,nord_stream,Nord Stream pipeline attacks: Who are the suspects?,BBC,https://www.bbc.com/news/world-europe-nord-stream-suspects-analysis,2024-08-15,"German investigators have identified several suspects in the Nord Stream pipeline attacks, including Ukrainian nationals. The investigation continues to explore whether the operation was state-sponsored or carried out by a private group.",international,N4,0.8,informational,neutral,False,,,bba678650d67
ns_int_118,nord_stream,Seismic and Infrasonic Signals used to Characterize Nord Stream ...,Seismosoc,https://www.seismosoc.org/news/seismic-and-infrasonic-signals-used-to-characterize-nord-stream-pipeline-events/,2022-2024,Seismic and Infrasonic Signals used to Characterize Nord Stream ...,international,N2,0.5,informational,neutral,False,,,5b4d1836d89f
ns_int_091,nord_stream,Nord Stream pipeline blasts: What&#x27;s known about the sabotage,Bairdmaritime,https://www.bairdmaritime.com/security/incidents/piracy/feature-nord-stream-pipeline-blasts-whats-known-about-the-sabotage,2022-2024,Nord Stream pipeline blasts: What&#x27;s known about the sabotage,international,N1,0.5,informational,neutral,False,,,3aed4932a49f
ns_int_101,nord_stream,Key details behind Nord Stream pipeline blasts revealed by scientists,The Guardian,https://www.theguardian.com/business/2023/sep/26/nord-stream-pipeline-blasts-key-details-revealed-by-scientists,2022-2024,Key details behind Nord Stream pipeline blasts revealed by scientists,international,N1,0.8,informational,neutral,False,,,632ca43e6935
ns_int_141,nord_stream,Poland arrests Ukrainian suspected in Nord Stream explosions - The ...,Washington Post,https://www.washingtonpost.com/world/2025/09/30/poland-ukrainian-arrested-nord-stream-explosions/,2025-09-30,Poland arrests Ukrainian suspected in Nord Stream explosions - The ...,international,N3,0.8,informational,neutral,False,,,cc8a037cf0f7
ns_int_074,nord_stream,Was the Nord Stream Attack an Act of War? It Matters for Insurance ...,Foreignpolicy,https://foreignpolicy.com/2025/09/17/nord-stream-russia-ukraine-war-insurance/,2025-09-17,Was the Nord Stream Attack an Act of War? It Matters for Insurance ...,international,N2,0.5,informational,neutral,False,,,fd8d39d2265f
ns_int_036,nord_stream,Investigating the Nord Stream Attack: All the Evidence Points To Kyiv,Der Spiegel,https://www.spiegel.de/international/europe/investigating-the-attack-on-nord-stream-all-the-clues-point-toward-kyiv-a-124838c7-992a-4d0e-9894-942d4a665778,2022-2024,Investigating the Nord Stream Attack: All the Evidence Points To Kyiv,international,N2,0.5,informational,neutral,False,,,0f2ddbe4cc06
ns_int_015,nord_stream,"Who sabotaged Nord Stream? 3 years on, investigations offer ... - Yahoo",Yahoo,https://www.yahoo.com/news/articles/sabotaged-nord-stream-3-years-174837624.html,2022-2024,"Who sabotaged Nord Stream? 3 years on, investigations offer ... - Yahoo",international,N2,0.5,informational,neutral,False,,,5b6f5311b41c
ns_int_099,nord_stream,Investigators skeptical of Andromeda yacht&#x27;s role in Nord Stream ...,Archive,https://archive.is/oKnv9,2022-2024,Investigators skeptical of Andromeda yacht&#x27;s role in Nord Stream ...,international,N3,0.5,informational,neutral,False,,,57a8e742224b
ns_int_003,nord_stream,Nord Stream: Denmark closes investigation into pipeline blast - BBC,BBC,https://www.bbc.com/news/world-europe-68401870,2022-2024,Nord Stream: Denmark closes investigation into pipeline blast - BBC,international,N5,0.8,informational,neutral,False,,,ce0b90359021
ns_int_174,nord_stream,Washington Post: U.S. had intelligence of Ukrainian plot to attack Nord Stream,Washington Post,https://www.washingtonpost.com/national-security/2023/06/05/nord-stream-pipeline-ukraine-us-intelligence/,2023-06-05,The Washington Post reported that U.S. intelligence agencies had information about a Ukrainian plan to attack the Nord Stream pipelines three months before the explosions occurred.,international,N4,0.8,informational,neutral,False,,,0f6c912d7feb
ns_int_163,nord_stream,Germany issues arrest warrant for Ukrainian over Nord Stream gas ...,Financial Times,https://www.ft.com/content/b427976c-f059-466c-9c85-65bdeb45c755,2022-2024,Germany issues arrest warrant for Ukrainian over Nord Stream gas ...,international,N3,0.8,informational,neutral,False,,,6c9bc0ed6d2e
ns_int_038,nord_stream,"A Drunken Evening, a Rented Yacht: The Real Story of the Nord Stream ...",Wall Street Journal,https://www.wsj.com/world/europe/nord-stream-pipeline-explosion-real-story-da24839c,2022-2024,"A Drunken Evening, a Rented Yacht: The Real Story of the Nord Stream ...",international,N3,0.8,informational,neutral,False,,,77a43a77ac3d
ns_int_047,nord_stream,Germany issues arrest warrant for Ukrainian suspect in connection to ...,Foxnews,https://www.foxnews.com/world/germany-issues-arrest-warrant-ukrainian-suspect-connection-nord-stream-pipeline-explosion-reports,2022-2024,Germany issues arrest warrant for Ukrainian suspect in connection to ...,international,N3,0.5,informational,neutral,False,,,b5280b000b76
ns_int_109,nord_stream,Germany and Nord Stream 2: evolution and end of an ... - Springer,Link,https://link.springer.com/article/10.1057/s41311-023-00453-9,2022-2024,Germany and Nord Stream 2: evolution and end of an ... - Springer,international,N2,0.5,informational,neutral,False,,,3d163ee4b677
ns_int_100,nord_stream,bne IntelliNews - The Nord Stream mystery: a timeline,Intellinews,https://www.intellinews.com/the-nord-stream-mystery-a-timeline-340361/,2022-2024,bne IntelliNews - The Nord Stream mystery: a timeline,international,N2,0.5,informational,neutral,False,,,d0f2a84a72d2
ns_int_075,nord_stream,Russia and US &#x27;discussing revival of Nord Stream gas pipeline&#x27;,Thetimes,https://www.thetimes.com/world/russia-ukraine-war/article/nord-stream-pipeline-us-eu-ldrvwwdqq,2022-2024,Russia and US &#x27;discussing revival of Nord Stream gas pipeline&#x27;,international,N2,0.5,informational,neutral,False,,,451b8b89344b
ns_int_020,nord_stream,Seymour Hersh: The US Destroyed the Nord Stream Pipeline - Jacobin,Jacobin,https://jacobin.com/2023/02/seymour-hersh-interview-nord-stream-pipeline,2022-2024,Seymour Hersh: The US Destroyed the Nord Stream Pipeline - Jacobin,international,N2,0.5,informational,neutral,False,,,769ef70d6b23
ns_int_112,nord_stream,Forensic Analysis of Nord Stream Explosion,Inthewarroom,https://www.inthewarroom.com/forensic-analysis-of-nord-stream-explosion/,2022-2024,Forensic Analysis of Nord Stream Explosion,international,N2,0.5,informational,neutral,False,,,65e073fcc0f6
ns_int_046,nord_stream,Nord Stream sabotage suspect appeals arrest in Poland,English,https://english.nv.ua/nation/nord-stream-sabotage-suspect-appeals-arrest-in-poland-50551158.html,2022-2024,Nord Stream sabotage suspect appeals arrest in Poland,international,N3,0.5,informational,neutral,False,,,805e5cca0e51
ns_int_051,nord_stream,Ukrainian man arrested over mysterious Nord Stream pipeline attacks - CNN,CNN,https://www.cnn.com/2025/08/21/europe/nordstream-germany-italy-arrest-intl,2025-08-21,Ukrainian man arrested over mysterious Nord Stream pipeline attacks - CNN,international,N3,0.5,informational,neutral,False,,,9f646c3ab7a3
ns_int_129,nord_stream,Nord Stream 1 pipeline | Business | The Guardian,The Guardian,https://www.theguardian.com/business/nord-stream-1-pipeline/2022/sep/27/all,2022-2024,Nord Stream 1 pipeline | Business | The Guardian,international,N2,0.8,informational,neutral,False,,,beb36b424536
ns_int_082,nord_stream,"At Security Council Meeting on Sabotage of Nord Stream Pipeline, Many ...",Globalsecurity,https://www.globalsecurity.org/wmd/library/news/russia/2024/10/russia-241004-unsc01.htm,2022-2024,"At Security Council Meeting on Sabotage of Nord Stream Pipeline, Many ...",international,N1,0.5,informational,neutral,False,,,74089eedcaf4
